Haye Re Woh Din Kyo Na Aaye,,Janasammohini,not available.txt
Mujhe Gale Se Laga Lo Bahut Udas Hun Main,Aaj Aur Kal,Jaunpuri,not available.txt
Piya Te Kahan Gayo,,Jaunpuri,not available.txt
Jab Dil Ko Sataye Gham,Sargam,Jaunpuri,not available.txt
Woh Duniya Ko Yaad Rahega,,Jaunpuri,not available.txt
Piya Te Kaha,Toofan Aur Diya,Jaunpuri,not available.txt
Ghunghatke Pat Khol,Jogan,Jaunpuri,not available.txt
Meri Yaad Me Tum Na Aansoo Bahana,Madhosh,Jaunpuri,not available.txt
Dil Chhed Koi Aisa Nagma,,Jaunpuri,not available.txt
Chale Jaana Nahin Naina Milake,Badi Behen,Jaunpuri,not available.txt
Jaye To Jayen Kahan,Taxi Driver,Jaunpuri,not available.txt
Meri Yaad Mein Tum Na Aansu Bahana,Madhosh,Jaunpuri,not available.txt
Teri Ankho Ke Siva Duniya Mein,Chirag,Jhinjhoti,not available.txt
Badli Badli Duniya Hai Meri,,Jhinjhoti,not available.txt
Chita Nandan Aage Nachoongi,,Jhinjhoti,not available.txt
Jaun Kahan Bata E Dil,Chhoti Behen,Jhinjhoti,not available.txt
Koi Humdum Na Raha,Jhumroo,Jhinjhoti,not available.txt
Main To Sare Bandhan Tod Chali,,Jhinjhoti,not available.txt
Chhup Gaya Koi Re Door Se Pukar Ke,Champakali,Jhinjhoti,not available.txt
Mose Chal Kiye Jaye Hai Re Hai Hai Dekho Saiyan Beiman,Guide,Jhinjhoti,not available.txt
Tum Mujhe Yun Bhula Na Paoge,Pagla Kahin Ka,Jhinjhoti,not available.txt
Ghungharoo Ki Taraha Bajtahi Raha Hun Main,Chor Machaye Shor,Jhinjhoti,not available.txt
Mere Mehboob Tujhe Meri Mohabbat Ki Kasam,Mere Mehboob,Jhinjhoti,not available.txt
Ja Ja Re Ja Balmava,Basant Bahar,Jhinjhoti,not available.txt
He Natraj Gangadhar Shambho,,Jogiya,not available.txt
Dil Ek Mandir Hai,Dil Ek Mandir,Jogiya,not available.txt
Piya Bina Suna Geeta,,Jogiya,not available.txt
Keh Do Koi Na Kare Yahan Pyaar,Goonj Uthi Shehnai,Jogiya,not available.txt
Raat Bharka Hai Mehmaan Andhera,,Jogiya,not available.txt
Baje Re Payalia Baje,,Jogkauns,not available.txt
Tum Nahin Gham Nahin Sharab Nahin,Ghazal,Kafi,not available.txt
Ishq Ki Garmi Jajabta Kise Pesh Karun,,Kafi,not available.txt
Gairon Pe Karam Apno Pe Sitam,Aankhen,Kafi,not available.txt
Kase kahun manki bata,,Kafi,not available.txt
Kali Ghodi Dwar Khadi,Chashme Buddoor,Kafi,not available.txt
Biraj Me Holi Khelat Nand Lal,Godaan,Kafi,not available.txt
Balma Aan Baso More Man Mein,,Kafi,not available.txt
O Ghath Savari Thodi Thodi Bawari,,Kalawati,not available.txt
Hay Re Woh Din Kyun Na Aye,Anuradha,Kalawati,not available.txt
Dil Mein Aur To Kya Rakkha Hai,Ghazal,Kalawati,not available.txt
Koi Sagar Dil Ko Bahalata Nahin,Dil Diya Dard Liya,Kalawati,not available.txt
Bhajan Bina Chain Na Aye Ram,Rafoo Chakkar,Kalawati,not available.txt
Sanam Tu Bewafake Naam Se,Khilona,Kalawati,not available.txt
Kahe Tarasae Jiyara,Chitralekha,Kalawati,not available.txt
Maika Piya Bulave,Sur Sangam,Kalawati,not available.txt
Kabhi to miloge jivansathi,,Kalawati,not available.txt
Subah Aur Sham Kam Hi Kam,Uljhan,Kalawati,not available.txt
Aja Re Mere Pyar Ke,,Kalawati,not available.txt
Hai Agar Dushman Dushman,Hum Kisise Kum Nahin,Kalawati,not available.txt
Rasik Balma,Chori Chori,Kalyan Shuddha,not available.txt
Meri Mohabbat Jawan Rahegi,Jaanwar,Kalyan Shuddha,not available.txt
Ye Sham Ki Tanahaiyan,,Kalyan Shuddha,not available.txt
Jahan Daal Daal Par Sone Ki Chidiyan,Sikandar-E-Azam,Kalyan Shuddha,not available.txt
Chand Phir Nikala,Paying Guest,Kalyan Shuddha,not available.txt
Mere Humsafar Mere Humsafar,Refugee,Kalyan Shuddha,not available.txt
Moha Maya Ko Tyag Do,Bhairavi,Kalyan Shyam,not available.txt
Aapke Anurodh Pe,Anurodh,Kalyan Yaman,not available.txt
